ZINC00057678; 0.725; Oc1cccc(c1)c1cc(=O)c2c(o1)cccc2
ZINC13283073; 0.713; Clc1ccc2c(c1)c(=O)c(c(o2)c1ccncc1)O
ZINC00057663; 0.713; COc1c(oc2c(c1=O)cccc2)c1ccc(cc1)OC
ZINC00039316; 0.709; Oc1ccc(cc1)c1oc2ccc(cc2c(=O)c1O)O
ZINC00139929; 0.701; Clc1ccc2c(c1)c(=O)c(c(o2)c1cccs1)O
ZINC00032772; 0.695; Clc1ccc2c(c1)c(=O)c(c(o2)c1cccnc1)O
ZINC01933209; 0.693; COc1cccc(c1)c1oc2ccc(cc2c(=O)c1O)C
ZINC06116596; 0.690; Oc1ccc2c(c1)oc(c(c2=O)O)c1ccccc1
ZINC00057662; 0.688; COc1c(oc2c(c1=O)cccc2)c1cccc(c1)OC
ZINC03610221; 0.683; COc1cccc2c1oc(cc2=O)c1ccccc1
ZINC00039303; 0.679; COc1ccc2c(c1O)oc(cc2=O)c1ccccc1
ZINC00207445; 0.678; Cc1cc(C)c2c(o1)c(O)c(=O)cc2
ZINC01978792; 0.677; COc1c(oc2c(c1=O)cccc2)c1ccccc1Cl
ZINC02553978; 0.671; Oc1ccc2c(c1)c(=O)c(c(o2)c1ccccc1O)O
ZINC14807561; 0.669; COc1cc(OC)c2c(c1)oc(c(c2=O)O)c1ccccc1
ZINC01978811; 0.669; CC(=O)Oc1c(oc2c(c1=O)cccc2)c1ccc(cc1Cl)Cl
ZINC00057690; 0.663; COc1ccccc1c1cc(=O)c2c(o1)c1ccccc1cc2
ZINC05607488; 0.660; N#CCOc1c(oc2c(c1=O)cc(cc2)Cl)c1ccc(cc1)Cl
ZINC00057691; 0.660; COc1ccccc1c1cc(=O)c2c(o1)ccc1c2cccc1
ZINC01791336; 0.659; CCOc1c(oc2c(c1=O)cccc2)c1ccc(cc1)Cl
ZINC00057661; 0.653; COc1c(oc2c(c1=O)ccc(c2)OC)c1ccccc1
ZINC00936000; 0.648; O=C(C(C)C)Oc1c(oc2c(c1=O)cccc2)c1ccccc1
ZINC39119537; 0.646; COc1ccccc1c1oc2ccccc2c(=O)c1[N+](=O)[O-]
ZINC00151089; 0.643; NC(=O)COc1c(oc2c(c1=O)cccc2)c1ccccc1
ZINC00039292; 0.641; Oc1c(O)cccc1c1cc(=O)c2c(o1)cccc2
ZINC00038933; 0.641; O=c1cc(oc2c1ccc1c2cccc1)c1ccccc1
ZINC00139772; 0.641; COc1ccc(cc1c1oc2ccccc2c(=O)c1O)OC
ZINC75172827; 0.640; C=CCc1cc2oc(cc(=O)c2cc1O)c1ccccc1
ZINC00937019; 0.635; CC(=O)Oc1c(oc2c(c1=O)cccc2)c1ccccc1Cl
ZINC00057849; 0.634; Oc1cccc(c1)c1oc2ccc(cc2c(=O)c1O)O
ZINC06093351; 0.634; Oc1ccc(cc1)c1oc2cc(O)ccc2c(=O)c1O
ZINC00005954; 0.634; COc1cccc2c1c(=O)cc(o2)c1ccccc1
ZINC02888496; 0.632; CCC(=O)Oc1c(oc2c(c1=O)cccc2)c1ccccc1
ZINC00039310; 0.629; COc1ccccc1c1cc(=O)c2c(o1)cccc2
ZINC02553977; 0.626; COc1ccc2c(c1)oc(c(c2=O)O)c1ccccc1OC
ZINC00057749; 0.623; COc1cc(OC)ccc1c1oc2ccccc2c(=O)c1O
ZINC36633729; 0.619; C=CCc1c(O)ccc2c1c(=O)cc(o2)c1ccccc1
ZINC01978327; 0.618; COC(=O)[C@H](Oc1c(oc2c(c1=O)cccc2)c1ccc(cc1)Cl)C
ZINC00057674; 0.616; O=c1cc(oc2c1cccc2)c1ccccc1
ZINC01978319; 0.616; COC(=O)COc1c(oc2c(c1=O)cccc2)c1ccc(cc1)Cl
ZINC71404833; 0.615; Oc1cc(O)c2c(c1)c(=O)c(c(o2)c1ccccc1O)O
ZINC01707743; 0.612; O=c1cc(oc2c1ccc1c2cccc1O)c1ccccc1
ZINC00057654; 0.603; Oc1ccc2c(c1)c(=O)cc(o2)c1ccccc1O
ZINC01718914; 0.601; COc1cc(OC)cc(c1c1oc2ccccc2c(=O)c1O)OC
ZINC02145965; 0.598; N#CCOc1ccc2c(c1)oc(cc2=O)c1ccccc1
ZINC00150942; 0.598; CCOC(=O)Oc1c(oc2c(c1=O)cccc2)c1ccccc1
ZINC14807577; 0.596; Oc1ccc2c(c1O)oc(c(c2=O)O)c1ccccc1
ZINC00039321; 0.596; Oc1ccc(cc1O)c1oc2ccccc2c(=O)c1O
ZINC00057752; 0.596; Oc1ccc(cc1)c1oc2cccc(c2c(=O)c1O)O
ZINC00057756; 0.596; Oc1ccc(c(c1)O)c1oc2ccc(cc2c(=O)c1O)O
ZINC05548956; 0.596; OC(=O)c1ccc(cc1)c1oc2ccccc2c(=O)c1O
ZINC27555324; 0.594; Cc1ccc2c(c1)oc(cc2=O)c1ccccc1
ZINC01978326; 0.592; COC(=O)[C@@H](Oc1c(oc2c(c1=O)cccc2)c1ccc(cc1)Cl)C
ZINC00057677; 0.591; Oc1ccc2c(c1)c(=O)cc(o2)c1ccccc1
ZINC01978794; 0.591; N#CCOc1c(oc2c(c1=O)cccc2)c1ccccc1Cl
ZINC00058123; 0.589; Cc1ccc2c(c1)c(=O)cc(o2)c1ccccc1
ZINC00521727; 0.589; COc1ccccc1c1cc(=O)c2c(o1)ccc(c2)C
ZINC00151087; 0.588; CCC(=O)Oc1c(oc2c(c1=O)cccc2)c1ccc(cc1)Cl
ZINC27552600; 0.585; Cc1cccc2c1c(=O)cc(o2)c1ccccc1
ZINC01925402; 0.579; N#CCOc1c(oc2c(c1=O)cc(cc2)Cl)c1ccccc1Cl
