CHEMBL2331821; 0.352; COc1ccc(cc1)c1c(O)c(=O)c2c(OC)cc(OC)cc2o1
CHEMBL388844; 0.349; Oc1ccc(cc1)c1cc(=O)c2cc(I)ccc2o1
CHEMBL28; 0.349; Oc1ccc(cc1)c1cc(=O)c2c(O)cc(O)cc2o1
CHEMBL16782; 0.349; COc1ccc2c(=O)cc(oc2c1)c1ccccc1
CHEMBL222541; 0.339; Oc1ccc2c(=O)cc(oc2c1O)c1cc(O)c(O)cc1
CHEMBL55415; 0.339; Oc1ccc(cc1)c1cc(=O)c2c(O)c(O)c(O)cc2o1
CHEMBL165064; 0.327; COc1c(oc2cc(O)cc(O)c2c1=O)c1ccc(O)cc1
CHEMBL89093; 0.322; CC(C)OC1=C(C=CC(C)=C1)C1=C(Cl)C(=O)C2=CC(Cl)=CC=C2O1
CHEMBL16751; 0.320; COc1ccc(cc1)c1cc(=O)c2ccc(O)cc2o1
CHEMBL2420100; 0.315; COc1c(OC)cc(cc1)c1c(OC)c(=O)c2c(o1)ccc1ccccc21
CHEMBL2420091; 0.315; COc1c(OC)cc(cc1)c1c(OC)c(=O)c2c(o1)c1ccccc1cc2
CHEMBL168080; 0.314; Cc1ccc(cc1)c1cc(=O)c2c(C)c(C)c(C)cc2o1
CHEMBL2386406; 0.308; FC1=C2C(=O)C=C(OC2=CC=C1)C1=CC=C(C=C1)C#N
CHEMBL301624; 0.307; Oc1ccc2c(=O)cc(oc2c1)c1cc(O)c(O)cc1
CHEMBL77198; 0.304; COc1ccc2c(=O)c(O)c(oc2c1)c1cc(OC)c(OC)cc1
CHEMBL2431867; 0.304; CC(C)c1ccc(cc1)c1cc(=O)c2ccccc2o1
CHEMBL2386393; 0.294; Oc1c2c(=O)cc(oc2ccc1)c1ccc(F)cc1
CHEMBL2431804; 0.294; O=c1cc(oc2ccccc12)c1ccc(cc1)c1nnn[nH]1
CHEMBL2431802; 0.290; O=c1cc(oc2ccccc12)c1ccc(cc1)C#N
CHEMBL165822; 0.282; OC(=O)c1ccc(cc1)c1cc(=O)c2ccccc2o1
CHEMBL351607; 0.282; COc1c(O)cc2oc(c(OC)c(=O)c2c1O)c1ccc(O)cc1
CHEMBL61745; 0.277; Fc1ccc2oc(cc(=O)c2c1)c1ccccc1
CHEMBL293478; 0.277; Clc1ccc2oc(cc(=O)c2c1)c1ccccc1
CHEMBL16783; 0.277; Clc1ccc(cc1)c1cc(=O)c2ccccc2o1
CHEMBL464107; 0.275; Oc1c(O)cc(cc1)c1cc(=O)c2c(O)c(O)c(O)cc2o1
CHEMBL424829; 0.275; COc1c(O)ccc(c1)c1cc(=O)c2cc(O)ccc2o1
CHEMBL183513; 0.275; COc1c(O)cc2oc(cc(=O)c2c1O)c1ccccc1
CHEMBL356036; 0.272; COc1ccc(cc1)c1c(OC)c(=O)c2c(OC)cc(OC)cc2o1
